symbol,name,exchange,sector
COHANCE.NS,Cohance Lifesciences Limited,NSE,Healthcare
COLPAL.NS,Colgate Palmolive (India) Limited,NSE,Consumer Defensive
COMPINFO.NS,Compuage Infocom Limited,NSE,Technology
COMPUSOFT.NS,Compucom Software Limited,NSE,Consumer Defensive
COMSYN.NS,Commercial Syn Bags Limited,NSE,Consumer Cyclical
CONCOR.NS,Container Corporation of India Limited,NSE,Industrials
CONCORDBIO.NS,Concord Biotech Limited,NSE,Healthcare
CONFIPET.NS,Confidence Petroleum India Limited,NSE,Energy
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,NSE,Financial Services
CONTROLPR.NS,Control Print Limited,NSE,Industrials
CORALFINAC.NS,Coral India Finance & Housing Limited,NSE,Real Estate
CORDSCABLE.NS,Cords Cable Industries Limited,NSE,Industrials
COROMANDEL.NS,Coromandel International Limited,NSE,Basic Materials
COSMOFIRST.NS,COSMO FIRST LIMITED,NSE,Consumer Cyclical
COUNCODOS.NS,Country Condo's Limited,NSE,Real Estate
CPCAP.NS,CP Capital Limited,NSE,Financial Services
CPEDU.NS,Career Point Edutech Limited,NSE,Consumer Defensive
CPPLUS.NS,Aditya Infotech Limited,NSE,Industrials
CRAFTSMAN.NS,Craftsman Automation Limited,NSE,Consumer Cyclical
CRAMC.NS,Canara Robeco Asset Management Company Limited,NSE,Financial Services
CREATIVE.NS,Creative Newtech Limited,NSE,Technology
CREATIVEYE.NS,Creative Eye Limited,NSE,Communication Services
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,NSE,Financial Services
CREST.NS,Crest Ventures Limited,NSE,Financial Services
CRISIL.NS,CRISIL Limited,NSE,Financial Services
CRIZAC.NS,Crizac Limited,NSE,Consumer Defensive
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,NSE,Consumer Cyclical
CROWN.NS,Crown Lifters Limited,NSE,Industrials
CSBBANK.NS,CSB Bank Limited,NSE,Financial Services
CSLFINANCE.NS,CSL Finance Limited,NSE,Financial Services
CTE.NS,Cambridge Technology Enterprises Limited,NSE,Technology
CUB.NS,City Union Bank Limited,NSE,Financial Services
CUBEXTUB.NS,Cubex Tubings Limited,NSE,Basic Materials
CUMMINSIND.NS,Cummins India Limited,NSE,Industrials
CUPID.NS,Cupid Limited,NSE,Consumer Defensive
CURAA.NS,Cura Technologies Limited,NSE,Technology
CYBERMEDIA.NS,Cyber Media (India) Limited,NSE,Communication Services
CYBERTECH.NS,Cybertech Systems And Software Limited,NSE,Technology
CYIENT.NS,Cyient Limited,NSE,Industrials
CYIENTDLM.NS,Cyient DLM Limited,NSE,Technology
DABUR.NS,Dabur India Limited,NSE,Consumer Defensive
DALBHARAT.NS,Dalmia Bharat Limited,NSE,Basic Materials
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,NSE,Consumer Defensive
DAMCAPITAL.NS,Dam Capital Advisors Limited,NSE,Financial Services
DAMODARIND.NS,Damodar Industries Limited,NSE,Consumer Cyclical
DANGEE.NS,Dangee Dums Limited,NSE,Consumer Cyclical
DATAMATICS.NS,Datamatics Global Services Limited,NSE,Technology
DATAPATTNS.NS,Data Patterns (India) Limited,NSE,Industrials
DAVANGERE.NS,Davangere Sugar Company Limited,NSE,Consumer Defensive
DBCORP.NS,D.B.Corp Limited,NSE,Communication Services
DBEIL.NS,Deepak Builders & Engineers India Limited,NSE,Industrials
DBL.NS,Dilip Buildcon Limited,NSE,Industrials
DBOL.NS,Dhampur Bio Organics Limited,NSE,Consumer Defensive
DBREALTY.NS,Valor Estate Limited,NSE,Real Estate
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,NSE,Financial Services
DCAL.NS,Dishman Carbogen Amcis Limited,NSE,Healthcare
DCBBANK.NS,DCB Bank Limited,NSE,Financial Services
DCI.NS,Dc Infotech And Communication Limited,NSE,Technology
DCM.NS,DCM  Limited,NSE,Industrials
DCMFINSERV.NS,DCM Financial Services Limited,NSE,Financial Services
DCMNVL.NS,DCM Nouvelle Limited,NSE,Consumer Cyclical
DCMSHRIRAM.NS,DCM Shriram Limited,NSE,Industrials
DCMSRIND.NS,DCM Shriram Industries Limited,NSE,Consumer Defensive
DCW.NS,DCW Limited,NSE,Basic Materials
DCXINDIA.NS,DCX Systems Limited,NSE,Industrials
DDEVPLSTIK.NS,Ddev Plastiks Industries Limited,NSE,Basic Materials
DECCANCE.NS,Deccan Cements Limited,NSE,Basic Materials
DEEDEV.NS,DEE Development Engineers Limited,NSE,Industrials
DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,Basic Materials
DEEPAKNTR.NS,Deepak Nitrite Limited,NSE,Basic Materials
DEEPINDS.NS,Deep Industries Limited,NSE,Energy
DELHIVERY.NS,Delhivery Limited,NSE,Industrials
DELPH-RE.NS,DELPHI WORLD MONEY LIMITED-RE,NSE,Unknown
DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,NSE,Financial Services
DELTACORP.NS,Delta Corp Limited,NSE,Consumer Cyclical
DELTAMAGNT.NS,Delta Manufacturing Limited,NSE,Industrials
DEN.NS,Den Networks Limited,NSE,Communication Services
DENORA.NS,De Nora India Limited,NSE,Industrials
DENTA.NS,Denta Water and Infra Solutions Limited,NSE,Industrials
DEVIT.NS,Dev Information Technology Limited,NSE,Technology
DEVX.NS,Dev Accelerator Limited,NSE,Real Estate
DEVYANI.NS,Devyani International Limited,NSE,Consumer Cyclical
DGCONTENT.NS,Digicontent Limited,NSE,Communication Services
DHAMPURSUG.NS,Dhampur Sugar Mills Limited,NSE,Consumer Defensive
DHANBANK.NS,Dhanlaxmi Bank Limited,NSE,Financial Services
DHANI.NS,Dhani Services Limited,NSE,Financial Services
DHANUKA.NS,Dhanuka Agritech Limited,NSE,Basic Materials
DHARAN.NS,DHARAN INFRA-EPC LIMITED,NSE,Real Estate
DHARMAJ.NS,Dharmaj Crop Guard Limited,NSE,Basic Materials
DHRUV.NS,Dhruv Consultancy Services Limited,NSE,Industrials
DHUNINV.NS,Dhunseri Investments Limited,NSE,Financial Services
DIACABS.NS,Diamond Power Infrastructure Limited,NSE,Industrials
DIAMINESQ.NS,Diamines & Chemicals Limited,NSE,Basic Materials
DIAMONDYD.NS,Prataap Snacks Limited,NSE,Consumer Defensive
DICIND.NS,DIC India Limited,NSE,Basic Materials
DIFFNKG.NS,Diffusion Engineers Limited,NSE,Industrials
DIGIDRIVE.NS,Digidrive Distributors Limited,NSE,Consumer Cyclical
DIGISPICE.NS,DiGiSPICE Technologies Limited,NSE,Technology
DIGITIDE.NS,Digitide Solutions Limited,NSE,Industrials
DIL.NS,Debock Industries Limited,NSE,Industrials
DISHTV.NS,Dish TV India Limited,NSE,Communication Services
DIVGIITTS.NS,Divgi Torqtransfer Systems Limited,NSE,Consumer Cyclical
DIVISLAB.NS,Divi's Laboratories Limited,NSE,Healthcare
DIXON.NS,Dixon Technologies (India) Limited,NSE,Technology
DJML.NS,DJ Mediaprint & Logistics Limited,NSE,Industrials
DLF.NS,DLF Limited,NSE,Real Estate
DLINKINDIA.NS,D-Link (India) Limited,NSE,Technology
DMART.NS,Avenue Supermarts Limited,NSE,Consumer Defensive
DMCC.NS,DMCC SPECIALITY CHEMICALS LIMITED,NSE,Basic Materials
DNAMEDIA.NS,Diligent Media Corporation Limited,NSE,Communication Services
DODLA.NS,Dodla Dairy Limited,NSE,Consumer Defensive
DOLATALGO.NS,Dolat Algotech Limited,NSE,Financial Services
DOLLAR.NS,Dollar Industries Limited,NSE,Consumer Cyclical
DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited,NSE,Energy
DOMS.NS,DOMS Industries Limited,NSE,Industrials
DONEAR.NS,Donear Industries Limited,NSE,Consumer Cyclical
DPABHUSHAN.NS,D. P. Abhushan Limited,NSE,Consumer Cyclical
DPSCLTD.NS,DPSC Limited,NSE,Utilities
DPWIRES.NS,D P Wires Limited,NSE,Industrials
DRCSYSTEMS.NS,DRC Systems India Limited,NSE,Technology
DREAMFOLKS.NS,Dreamfolks Services Limited,NSE,Industrials
DREDGECORP.NS,Dredging Corporation of India Limited,NSE,Industrials
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSE,Healthcare
DSSL.NS,Dynacons Systems & Solutions Limited,NSE,Technology
DTIL.NS,Dhunseri Tea & Industries Limited,NSE,Consumer Defensive
DUCON.NS,Ducon Infratechnologies Limited,NSE,Industrials
DVL.NS,Dhunseri Ventures Limited,NSE,Financial Services
DWARKESH.NS,Dwarikesh Sugar Industries Limited,NSE,Consumer Defensive
DYCL.NS,Dynamic Cables Limited,NSE,Industrials
DYNAMATECH.NS,Dynamatic Technologies Limited,NSE,Consumer Cyclical
DYNPRO.NS,Dynemic Products Limited,NSE,Basic Materials
E2E.NS,E2E Networks Limited,NSE,Technology
EASEMYTRIP.NS,Easy Trip Planners Limited,NSE,Consumer Cyclical
EBGNG.NS,GNG Electronics Limited,NSE,Technology
ECLERX.NS,eClerx Services Limited,NSE,Technology
ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited,NSE,Industrials
EDELWEISS.NS,Edelweiss Financial Services Limited,NSE,Financial Services
EFCIL.NS,EFC (I) Limited,NSE,Real Estate
EICHERMOT.NS,Eicher Motors Limited,NSE,Consumer Cyclical
EIDPARRY.NS,EID Parry India Limited,NSE,Basic Materials
EIEL.NS,Enviro Infra Engineers Limited,NSE,Industrials
EIFFL.NS,Euro India Fresh Foods Limited,NSE,Consumer Defensive
EIHAHOTELS.NS,EIH Associated Hotels Limited,NSE,Consumer Cyclical
EIHOTEL.NS,EIH Limited,NSE,Consumer Cyclical
EIMCOELECO.NS,Eimco Elecon (India) Limited,NSE,Industrials
EKC.NS,Everest Kanto Cylinder Limited,NSE,Industrials
ELDEHSG.NS,Eldeco Housing And Industries Limited,NSE,Real Estate
ELECON.NS,Elecon Engineering Company Limited,NSE,Industrials
ELECTCAST.NS,Electrosteel Castings Limited,NSE,Industrials
ELECTHERM.NS,Electrotherm (India) Limited,NSE,Basic Materials
ELGIEQUIP.NS,Elgi Equipments Limited,NSE,Industrials
ELGIRUBCO.NS,Elgi Rubber Company Limited,NSE,Consumer Cyclical
ELIN.NS,Elin Electronics Limited,NSE,Industrials
ELLEN.NS,Ellenbarrie Industrial Gases Limited,NSE,Basic Materials
EMAMILTD.NS,Emami Limited,NSE,Consumer Defensive
EMAMIPAP.NS,Emami Paper Mills Limited,NSE,Basic Materials
EMAMIREAL.NS,Emami Realty Limited,NSE,Real Estate
EMBDL.NS,Embassy Developments Limited,NSE,Real Estate
EMCURE.NS,Emcure Pharmaceuticals Limited,NSE,Healthcare
EMIL.NS,Electronics Mart India Limited,NSE,Consumer Cyclical
EMKAY.NS,Emkay Global Financial Services Limited,NSE,Financial Services
EMMBI.NS,Emmbi Industries Limited,NSE,Consumer Cyclical
EMSLIMITED.NS,EMS Limited,NSE,Industrials
EMUDHRA.NS,eMudhra Limited,NSE,Technology
ENDURANCE.NS,Endurance Technologies Limited,NSE,Consumer Cyclical
ENERGYDEV.NS,Energy Development Company Limited,NSE,Utilities
ENGINERSIN.NS,Engineers India Limited,NSE,Industrials
ENIL.NS,Entertainment Network (India) Limited,NSE,Communication Services
ENRIN.NS,Siemens Energy India Limited,NSE,Utilities
ENTERO.NS,Entero Healthcare Solutions Limited,NSE,Healthcare
EPACK.NS,EPACK Durable Limited,NSE,Consumer Cyclical
EPACKPEB.NS,EPack Prefab Technologies Limited,NSE,Industrials
EPIGRAL.NS,Epigral Limited,NSE,Basic Materials
EPL.NS,EPL Limited,NSE,Consumer Cyclical
EQUIPPP.NS,Equippp Social Impact Technologies Limited,NSE,Basic Materials
EQUITASBNK.NS,Equitas Small Finance Bank Limited,NSE,Financial Services
ERIS.NS,Eris Lifesciences Limited,NSE,Healthcare
ESABINDIA.NS,Esab India Limited,NSE,Industrials
ESAFSFB.NS,ESAF Small Finance Bank Limited,NSE,Financial Services
ESCORTS.NS,Escorts Kubota Limited,NSE,Industrials
ESSARSHPNG.NS,Essar Shipping Limited,NSE,Industrials
ESSENTIA.NS,Integra Essentia Limited,NSE,Consumer Defensive
ESTER.NS,Ester Industries Limited,NSE,Basic Materials
ETERNAL.NS,ETERNAL LIMITED,NSE,Consumer Cyclical
ETHOSLTD.NS,Ethos Limited,NSE,Consumer Cyclical
EUREKAFORB.NS,Eureka Forbes Limited,NSE,Consumer Cyclical
EUROBOND.NS,Euro Panel Products Limited,NSE,Industrials
EUROPRATIK.NS,Euro Pratik Sales Limited,NSE,Basic Materials
EUROTEXIND.NS,Eurotex Industries and Exports Limited,NSE,Real Estate
EVEREADY.NS,Eveready Industries India Limited,NSE,Industrials
EVERESTIND.NS,Everest Industries Limited,NSE,Industrials
EXCEL.NS,Excel Realty N Infra Limited,NSE,Industrials
EXCELINDUS.NS,Excel Industries Limited,NSE,Basic Materials
EXICOM.NS,Exicom Tele-Systems Limited,NSE,Industrials
EXIDEIND.NS,Exide Industries Limited,NSE,Consumer Cyclical
EXPLEOSOL.NS,Expleo Solutions Limited,NSE,Technology
EXXARO.NS,Exxaro Tiles Limited,NSE,Industrials
FABTECH.NS,Fabtech Technologies Limited,NSE,Healthcare
FACT.NS,Fertilizers and Chemicals Travancore Limited,NSE,Basic Materials
FAIRCHEMOR.NS,Fairchem Organics Limited,NSE,Basic Materials
FAZE3Q.NS,Faze Three Limited,NSE,Consumer Cyclical
FCL.NS,Fineotex Chemical Limited,NSE,Basic Materials
FCSSOFT.NS,FCS Software Solutions Limited,NSE,Technology
FDC.NS,FDC Limited,NSE,Healthcare
FEDERALBNK.NS,The Federal Bank  Limited,NSE,Financial Services
FEDFINA.NS,Fedbank Financial Services Limited,NSE,Financial Services
FEL.NS,Future Enterprises Limited,NSE,Consumer Cyclical
FELDVR.NS,Future Enterprises Limited,NSE,Consumer Cyclical
FIBERWEB.NS,Fiberweb (India) Limited,NSE,Consumer Cyclical
FIEMIND.NS,Fiem Industries Limited,NSE,Consumer Cyclical
FILATEX.NS,Filatex India Limited,NSE,Consumer Cyclical
FILATFASH.NS,Filatex Fashions Limited,NSE,Consumer Cyclical
FINCABLES.NS,Finolex Cables Limited,NSE,Industrials
FINEORG.NS,Fine Organic Industries Limited,NSE,Basic Materials
FINKURVE.NS,Finkurve Financial Services Limited,NSE,Financial Services
FINOPB.NS,Fino Payments Bank Limited,NSE,Financial Services
FINPIPE.NS,Finolex Industries Limited,NSE,Industrials
FIRSTCRY.NS,Brainbees Solutions Limited,NSE,Consumer Cyclical
FISCHER.NS,Fischer Medical Ventures Limited,NSE,Healthcare
FIVESTAR.NS,Five-Star Business Finance Limited,NSE,Financial Services
FLAIR.NS,Flair Writing Industries Limited,NSE,Industrials
FLEXITUFF.NS,Flexituff Ventures International Limited,NSE,Consumer Cyclical
FLFL.NS,Future Lifestyle Fashions Limited,NSE,Consumer Cyclical
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,NSE,Basic Materials
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.,NSE,Consumer Cyclical
FMNL.NS,Future Market Networks Limited,NSE,Real Estate
FOCUS.NS,Focus Lighting and Fixtures Limited,NSE,Consumer Cyclical
FOODSIN.NS,Foods & Inns Limited,NSE,Consumer Defensive
FORCEMOT.NS,FORCE MOTORS LTD,NSE,Consumer Cyclical
FORTIS.NS,Fortis Healthcare Limited,NSE,Healthcare
FOSECOIND.NS,Foseco India Limited,NSE,Basic Materials
FSC.NS,Future Supply Chain Solutions Limited,NSE,Industrials
FSL.NS,Firstsource Solutions Limited,NSE,Technology
FUSION.NS,Fusion Finance Limited,NSE,Financial Services
GABRIEL.NS,Gabriel India Limited,NSE,Consumer Cyclical
GAEL.NS,Gujarat Ambuja Exports Limited,NSE,Consumer Defensive
GAIL.NS,GAIL (India) Limited,NSE,Utilities
GALAPREC.NS,Gala Precision Engineering Limited,NSE,Industrials
GALAXYSURF.NS,Galaxy Surfactants Limited,NSE,Basic Materials
GALLANTT.NS,Gallantt Ispat Limited,NSE,Basic Materials
GANDHAR.NS,Gandhar Oil Refinery (India) Limited,NSE,Energy
GANDHITUBE.NS,Gandhi Special Tubes Limited,NSE,Industrials
GANECOS.NS,Ganesha Ecosphere Limited,NSE,Consumer Cyclical
GANESHBE.NS,Ganesh Benzoplast Limited,NSE,Basic Materials
GANESHCP.NS,Ganesh Consumer Products Limited,NSE,Consumer Defensive
GANESHHOU.NS,GANESH HOUSING LIMITED,NSE,Real Estate
GANGAFORGE.NS,Ganga Forging Limited,NSE,Industrials
GANGESSECU.NS,Ganges Securities Limited,NSE,Consumer Defensive
GARFIBRES.NS,Garware Technical Fibres Limited,NSE,Consumer Cyclical
GARUDA.NS,Garuda Construction and Engineering Limited,NSE,Industrials
GATECH.NS,GACM Technologies Limited,NSE,Financial Services
GATECHDVR.NS,GACM Technologies Limited,NSE,Financial Services
GATEWAY.NS,Gateway Distriparks Limited,NSE,Industrials
GAYAHWS.NS,Gayatri Highways Limited,NSE,Industrials
GCSL.NS,Gretex Corporate Services Limited,NSE,Financial Services
GEECEE.NS,GeeCee Ventures Limited,NSE,Real Estate
GEEKAYWIRE.NS,Geekay Wires Limited,NSE,Industrials
GEMAROMA.NS,Gem Aromatics Limited,NSE,Basic Materials
GENCON.NS,Generic Engineering Construction and Projects Limited,NSE,Industrials
GENESYS.NS,Genesys International Corporation Limited,NSE,Technology
GENUSPAPER.NS,Genus Paper & Boards Limited,NSE,Basic Materials
GENUSPOWER.NS,Genus Power Infrastructures Limited,NSE,Industrials
GEOJITFSL.NS,Geojit Financial Services Limited,NSE,Financial Services
GESHIP.NS,The Great Eastern Shipping Company Limited,NSE,Industrials
GFLLIMITED.NS,GFL Limited,NSE,Financial Services
GHCL.NS,GHCL Limited,NSE,Basic Materials
GHCLTEXTIL.NS,GHCL Textiles Limited,NSE,Consumer Cyclical
GICHSGFIN.NS,GIC Housing Finance Limited,NSE,Financial Services
GICRE.NS,General Insurance Corporation of India,NSE,Financial Services
GILLANDERS.NS,Gillanders Arbuthnot & Company Limited,NSE,Consumer Defensive
GILLETTE.NS,Gillette India Limited,NSE,Consumer Defensive
GINNIFILA.NS,Ginni Filaments Limited,NSE,Consumer Cyclical
GIPCL.NS,Gujarat Industries Power Company Limited,NSE,Utilities
GKENERGY.NS,GK Energy Limited,NSE,Utilities
GKWLIMITED.NS,GKW Limited,NSE,Industrials
GLAND.NS,Gland Pharma Limited,NSE,Healthcare
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,NSE,Healthcare
GLENMARK.NS,Glenmark Pharmaceuticals Limited,NSE,Healthcare
GLFL.NS,Gujarat Lease Financing Limited,NSE,Financial Services
GLOBAL.NS,Global Education Limited,NSE,Consumer Defensive
GLOBALE.NS,Globale Tessile Limited,NSE,Consumer Cyclical
GLOBALVECT.NS,Global Vectra Helicorp Limited,NSE,Industrials
GLOBE.NS,Globe Textiles (India) Limited,NSE,Consumer Cyclical
GLOBECIVIL.NS,Globe Civil Projects Limited,NSE,Industrials
GLOBUSSPR.NS,Globus Spirits Limited,NSE,Consumer Defensive
GLOSTERLTD.NS,Gloster Limited,NSE,Consumer Cyclical
GLOTTIS.NS,Glottis Limited,NSE,Industrials
GMBREW.NS,GM Breweries Limited,NSE,Consumer Defensive
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,NSE,Energy
GMMPFAUDLR.NS,GMM Pfaudler Limited,NSE,Industrials
GMRAIRPORT.NS,GMR AIRPORTS LIMITED,NSE,Industrials
GMRP&UI.NS,GMR Power and Urban Infra Limited,NSE,Energy
GNA.NS,GNA Axles Limited,NSE,Consumer Cyclical
GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited,NSE,Basic Materials
GOACARBON.NS,Goa Carbon Limited,NSE,Basic Materials
GOCLCORP.NS,GOCL Corporation Limited,NSE,Basic Materials
GOCOLORS.NS,Go Fashion (India) Limited,NSE,Consumer Cyclical
GODAVARIB.NS,Godavari Biorefineries Limited,NSE,Basic Materials
GODFRYPHLP.NS,Godfrey Phillips India Limited,NSE,Consumer Defensive
GODIGIT.NS,Go Digit General Insurance Limited,NSE,Financial Services
GODREJAGRO.NS,Godrej Agrovet Limited,NSE,Consumer Defensive
GODREJCP.NS,Godrej Consumer Products Limited,NSE,Consumer Defensive
GODREJIND.NS,Godrej Industries Limited,NSE,Industrials
GODREJPROP.NS,Godrej Properties Limited,NSE,Real Estate
GOENKA.NS,Goenka Diamond and Jewels Limited,NSE,Consumer Cyclical
GOKEX.NS,Gokaldas Exports Limited,NSE,Consumer Cyclical
GOKUL.NS,Gokul Refoils and Solvent Limited,NSE,Consumer Defensive
GOKULAGRO.NS,Gokul Agro Resources Limited,NSE,Consumer Defensive
GOLDENTOBC.NS,Golden Tobacco Limited,NSE,Consumer Defensive
GOLDIAM.NS,Goldiam International Limited,NSE,Consumer Cyclical
GOLDTECH.NS,AION-TECH SOLUTIONS LIMITED,NSE,Technology
GOODLUCK.NS,Goodluck India Limited,NSE,Basic Materials
GOPAL.NS,Gopal Snacks Limited,NSE,Consumer Defensive
GOYALALUM.NS,Goyal Aluminiums Limited,NSE,Basic Materials
GPIL.NS,Godawari Power And Ispat limited,NSE,Basic Materials
GPPL.NS,Gujarat Pipavav Port Limited,NSE,Industrials
GPTHEALTH.NS,GPT Healthcare Limited,NSE,Healthcare
GPTINFRA.NS,GPT Infraprojects Limited,NSE,Industrials
GRANULES.NS,Granules India Limited,NSE,Healthcare
GRAPHITE.NS,Graphite India Limited,NSE,Industrials
GRASIM.NS,Grasim Industries Limited,NSE,Basic Materials
GRAVITA.NS,Gravita India Limited,NSE,Industrials
GREAVESCOT.NS,Greaves Cotton Limited,NSE,Industrials
GREENLAM.NS,Greenlam Industries Limited,NSE,Consumer Cyclical
GREENPANEL.NS,Greenpanel Industries Limited,NSE,Basic Materials
GREENPLY.NS,Greenply Industries Limited,NSE,Basic Materials
GREENPOWER.NS,Orient Green Power Company Limited,NSE,Utilities
GRINDWELL.NS,Grindwell Norton Limited,NSE,Industrials
GRINFRA.NS,G R Infraprojects Limited,NSE,Industrials
GRMOVER.NS,GRM Overseas Limited,NSE,Consumer Defensive
GROBTEA.NS,The Grob Tea Company Limited,NSE,Consumer Defensive
GRPLTD.NS,GRP Limited,NSE,Consumer Cyclical
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,NSE,Industrials
GRWRHITECH.NS,Garware Hi-Tech Films Limited,NSE,Basic Materials
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,NSE,Basic Materials
GSLSU.NS,Global Surfaces Limited,NSE,Basic Materials
GSPL.NS,Gujarat State Petronet Limited,NSE,Utilities
GSS.NS,GSS Infotech Limited,NSE,Technology
GTECJAINX.NS,G-TEC JAINX EDUCATION LIMITED,NSE,Consumer Defensive
GTL.NS,GTL Limited,NSE,Communication Services
GTLINFRA.NS,GTL Infrastructure Limited,NSE,Technology
GTPL.NS,GTPL Hathway Limited,NSE,Communication Services
GUFICBIO.NS,Gufic Biosciences Limited,NSE,Healthcare
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,NSE,Basic Materials
GUJAPOLLO.NS,Gujarat Apollo Industries Limited,NSE,Industrials
GUJGASLTD.NS,Gujarat Gas Limited,NSE,Utilities
GUJRAFFIA.NS,Gujarat Raffia Industries Limited,NSE,Unknown
GUJTHEM.NS,Gujarat Themis Biosyn Limited,NSE,Healthcare
GULFOILLUB.NS,Gulf Oil Lubricants India Limited,NSE,Basic Materials
GULFPETRO.NS,GP Petroleums Limited,NSE,Energy
GULPOLY.NS,Gulshan Polyols Limited,NSE,Basic Materials
GVKPIL.NS,GVK Power & Infrastructure Limited,NSE,Utilities
GVPIL.NS,GE Power India Limited,NSE,Industrials
GVPTECH.NS,GVP Infotech Limited,NSE,Technology
GVT&D.NS,GE Vernova T&D India Limited,NSE,Industrials
HAL.NS,Hindustan Aeronautics Limited,NSE,Industrials
HAPPSTMNDS.NS,Happiest Minds Technologies Limited,NSE,Technology
HAPPYFORGE.NS,Happy Forgings Limited,NSE,Industrials
HARDWYN.NS,Hardwyn India Limited,NSE,Industrials
HARIOMPIPE.NS,Hariom Pipe Industries Limited,NSE,Basic Materials
HARRMALAYA.NS,Harrisons  Malayalam Limited,NSE,Consumer Defensive
HARSHA.NS,Harsha Engineers International Limited,NSE,Industrials
HATHWAY.NS,Hathway Cable & Datacom Limited,NSE,Communication Services
HATSUN.NS,Hatsun Agro Product Limited,NSE,Consumer Defensive
HAVELLS.NS,Havells India Limited,NSE,Industrials
HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited,NSE,Consumer Cyclical
HBLENGINE.NS,HBL Engineering Limited,NSE,Industrials
HBSL.NS,HB Stockholdings Limited,NSE,Financial Services
HCC.NS,Hindustan Construction Company Limited,NSE,Industrials
HCG.NS,Healthcare Global Enterprises Limited,NSE,Healthcare
HCL-INSYS.NS,HCL Infosystems Limited,NSE,Technology
HCLTECH.NS,HCL Technologies Limited,NSE,Technology
HDBFS.NS,HDB Financial Services Limited,NSE,Financial Services
HDFCAMC.NS,HDFC Asset Management Company Limited,NSE,Financial Services
HDFCBANK.NS,HDFC Bank Limited,NSE,Financial Services
HDFCLIFE.NS,HDFC Life Insurance Company Limited,NSE,Financial Services
HDIL.NS,Housing Development and Infrastructure Limited,NSE,Real Estate
HEADSUP.NS,Heads UP Ventures Limited,NSE,Consumer Cyclical
HECPROJECT.NS,HEC Infra Projects Limited,NSE,Industrials
HEG.NS,HEG Limited,NSE,Industrials
HEIDELBERG.NS,HeidelbergCement India Limited,NSE,Basic Materials
HEMIPROP.NS,Hemisphere Properties India Limited,NSE,Real Estate
HERANBA.NS,Heranba Industries Limited,NSE,Basic Materials
HERCULES.NS,Hercules Hoists Limited,NSE,Industrials
HERITGFOOD.NS,Heritage Foods Limited,NSE,Consumer Defensive
HEROMOTOCO.NS,Hero MotoCorp Limited,NSE,Consumer Cyclical
HESTERBIO.NS,Hester Biosciences Limited,NSE,Healthcare
HEUBACHIND.NS,Heubach Colorants India Limited,NSE,Basic Materials
HEXATRADEX.NS,Hexa Tradex Limited,NSE,Financial Services
HEXT.NS,Hexaware Technologies Limited,NSE,Technology
HFCL.NS,HFCL Limited,NSE,Technology
HGINFRA.NS,H.G. Infra Engineering Limited,NSE,Industrials
HGM.NS,HandsOn Global Management (HGM) Limited,NSE,Technology
HGS.NS,Hinduja Global Solutions Limited,NSE,Industrials
HIKAL.NS,Hikal Limited,NSE,Healthcare
HILINFRA.NS,Highway Infrastructure Limited,NSE,Unknown
HILTON.NS,Hilton Metal Forging Limited,NSE,Industrials
HIMATSEIDE.NS,Himatsingka Seide Limited,NSE,Consumer Cyclical
HINDALCO.NS,Hindalco Industries Limited,NSE,Basic Materials
HINDCOMPOS.NS,Hindustan Composites Limited,NSE,Consumer Cyclical
HINDCON.NS,Hindcon Chemicals Limited,NSE,Basic Materials
HINDCOPPER.NS,Hindustan Copper Limited,NSE,Basic Materials
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited,NSE,Energy
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSE,Energy
HINDUNILVR.NS,Hindustan Unilever Limited,NSE,Consumer Defensive
HINDWAREAP.NS,Hindware Home Innovation Limited,NSE,Consumer Cyclical
HINDZINC.NS,Hindustan Zinc Limited,NSE,Basic Materials
HIRECT.NS,Hind Rectifiers Limited,NSE,Industrials
HISARMETAL.NS,Hisar Metal Industries Limited,NSE,Basic Materials
HITECH.NS,Hi-Tech Pipes Limited,NSE,Basic Materials
HITECHCORP.NS,Hitech Corporation Limited,NSE,Consumer Cyclical
HITECHGEAR.NS,The Hi-Tech Gears Limited,NSE,Consumer Cyclical
HLEGLAS.NS,HLE Glascoat Limited,NSE,Industrials
