symbol,name,exchange,sector
ALEMBICLTD.NS,Alembic Limited,NSE,Real Estate
ALICON.NS,Alicon Castalloy Limited,NSE,Industrials
ALIVUS.NS,Alivus Life Sciences Limited,NSE,Healthcare
ALKALI.NS,Alkali Metals Limited,NSE,Basic Materials
ALKEM.NS,Alkem Laboratories Limited,NSE,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,NSE,Basic Materials
ALLCARGO.NS,Allcargo Logistics Limited,NSE,Industrials
ALLDIGI.NS,Alldigi Tech Limited,NSE,Industrials
ALLTIME.NS,All Time Plastics Limited,NSE,Consumer Defensive
ALMONDZ.NS,Almondz Global Securities Limited,NSE,Financial Services
ALOKINDS.NS,Alok Industries Limited,NSE,Consumer Cyclical
ALPA.NS,Alpa Laboratories Limited,NSE,Healthcare
ALPHAGEO.NS,Alphageo (India) Limited,NSE,Energy
ALPSINDUS.NS,Alps Industries Limited,NSE,Consumer Cyclical
AMANTA.NS,Amanta Healthcare Limited,NSE,Healthcare
AMBER.NS,Amber Enterprises India Limited,NSE,Consumer Cyclical
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,NSE,Consumer Defensive
AMBIKCO.NS,Ambika Cotton Mills Limited,NSE,Consumer Cyclical
AMBUJACEM.NS,Ambuja Cements Limited,NSE,Basic Materials
AMDIND.NS,AMD Industries Limited,NSE,Consumer Cyclical
AMJLAND.NS,Amj Land Holdings Limited,NSE,Real Estate
AMNPLST.NS,Amines & Plasticizers Limited,NSE,Basic Materials
AMRUTANJAN.NS,Amrutanjan Health Care Limited,NSE,Healthcare
ANANDRATHI.NS,Anand Rathi Wealth Limited,NSE,Financial Services
ANANTRAJ.NS,Anant Raj Limited,NSE,Real Estate
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,NSE,Basic Materials
ANDHRSUGAR.NS,The Andhra Sugars Limited,NSE,Basic Materials
ANGELONE.NS,Angel One Limited,NSE,Financial Services
ANIKINDS.NS,Anik Industries Limited,NSE,Consumer Defensive
ANKITMETAL.NS,Ankit Metal & Power Limited,NSE,Basic Materials
ANMOL.NS,Anmol India Limited,NSE,Energy
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,NSE,Real Estate
ANTELOPUS.NS,Antelopus Selan Energy Limited,NSE,Energy
ANTGRAPHIC.NS,Antarctica Limited,NSE,Consumer Cyclical
ANTHEM.NS,Anthem Biosciences Limited,NSE,Healthcare
ANUHPHR.NS,Anuh Pharma Limited,NSE,Healthcare
ANUP.NS,The Anup Engineering Limited,NSE,Industrials
ANURAS.NS,Anupam Rasayan India Limited,NSE,Basic Materials
APARINDS.NS,Apar Industries Limited,NSE,Industrials
APCL.NS,Anjani Portland Cement Limited,NSE,Basic Materials
APCOTEXIND.NS,Apcotex Industries Limited,NSE,Basic Materials
APEX.NS,Apex Frozen Foods Limited,NSE,Consumer Defensive
APLAPOLLO.NS,APL Apollo Tubes Limited,NSE,Basic Materials
APLLTD.NS,Alembic Pharmaceuticals Limited,NSE,Healthcare
APOLLO.NS,Apollo Micro Systems Limited,NSE,Industrials
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,NSE,Healthcare
APOLLOPIPE.NS,Apollo Pipes Limited,NSE,Industrials
APOLLOTYRE.NS,Apollo Tyres Limited,NSE,Consumer Cyclical
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,NSE,Industrials
APTECHT.NS,Aptech Limited,NSE,Consumer Defensive
APTUS.NS,Aptus Value Housing Finance India Limited,NSE,Financial Services
ARCHIDPLY.NS,Archidply Industries Limited,NSE,Basic Materials
ARCHIES.NS,Archies Limited,NSE,Consumer Cyclical
ARE&M.NS,Amara Raja Energy & Mobility Limited,NSE,Industrials
ARENTERP.NS,Rajdarshan Industries Limited,NSE,Basic Materials
ARFIN.NS,Arfin India Limited,NSE,Basic Materials
ARIES.NS,Aries Agro Limited,NSE,Basic Materials
ARIHANTCAP.NS,Arihant Capital Markets Limited,NSE,Financial Services
ARIHANTSUP.NS,Arihant Superstructures Limited,NSE,Real Estate
ARISINFRA.NS,Arisinfra Solutions Limited,NSE,Industrials
ARKADE.NS,Arkade Developers Limited,NSE,Real Estate
ARMANFIN.NS,Arman Financial Services Limited,NSE,Financial Services
AROGRANITE.NS,Aro Granite Industries Limited,NSE,Industrials
ARROWGREEN.NS,Arrow Greentech Limited,NSE,Consumer Cyclical
ARSHIYA.NS,Arshiya Limited,NSE,Industrials
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,NSE,Financial Services
ARTEMISMED.NS,Artemis Medicare Services Limited,NSE,Unknown
ARTNIRMAN.NS,Art Nirman Limited,NSE,Real Estate
ARVEE.NS,Arvee Laboratories (India) Limited,NSE,Basic Materials
ARVIND.NS,Arvind Limited,NSE,Consumer Cyclical
ARVINDFASN.NS,Arvind Fashions Limited,NSE,Consumer Cyclical
ARVSMART.NS,Arvind SmartSpaces Limited,NSE,Real Estate
ASAHIINDIA.NS,Asahi India Glass Limited,NSE,Consumer Cyclical
ASAHISONG.NS,Asahi Songwon Colors Limited,NSE,Basic Materials
ASAL.NS,Automotive Stampings and Assemblies Limited,NSE,Consumer Cyclical
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,NSE,Consumer Defensive
ASHAPURMIN.NS,Ashapura Minechem Limited,NSE,Basic Materials
ASHIANA.NS,Ashiana Housing Limited,NSE,Real Estate
ASHIMASYN.NS,Ashima Limited,NSE,Real Estate
ASHOKA.NS,Ashoka Buildcon Limited,NSE,Industrials
ASHOKAMET.NS,Ashoka Metcast Limited,NSE,Basic Materials
ASHOKLEY.NS,Ashok Leyland Limited,NSE,Industrials
ASIANENE.NS,Asian Energy Services Limited,NSE,Energy
ASIANHOTNR.NS,Asian Hotels (North) Limited,NSE,Consumer Cyclical
ASIANPAINT.NS,Asian Paints Limited,NSE,Basic Materials
ASIANTILES.NS,Asian Granito India Limited,NSE,Industrials
ASKAUTOLTD.NS,ASK Automotive Limited,NSE,Consumer Cyclical
ASMS.NS,Bartronics India Limited,NSE,Technology
ASPINWALL.NS,Aspinwall and Company Limited,NSE,Consumer Defensive
ASTEC.NS,Astec LifeSciences Limited,NSE,Basic Materials
ASTERDM.NS,Aster DM Healthcare Limited,NSE,Healthcare
ASTRAL.NS,Astral Limited,NSE,Industrials
ASTRAMICRO.NS,Astra Microwave Products Limited,NSE,Technology
ASTRAZEN.NS,AstraZeneca Pharma India Limited,NSE,Healthcare
ASTRON.NS,Astron Paper & Board Mill Limited,NSE,Basic Materials
ATALREAL.NS,Atal Realtech Limited,NSE,Industrials
ATAM.NS,Atam Valves Limited,NSE,Industrials
ATGL.NS,Adani Total Gas Limited,NSE,Utilities
ATHERENERG.NS,Ather Energy Limited,NSE,Consumer Cyclical
ATL.NS,Allcargo Terminals Limited,NSE,Industrials
ATLANTAA.NS,ATLANTAA LIMITED,NSE,Industrials
ATLANTAELE.NS,Atlanta Electricals Limited,NSE,Industrials
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,NSE,Consumer Cyclical
ATUL.NS,Atul Limited,NSE,Basic Materials
ATULAUTO.NS,Atul Auto Limited,NSE,Consumer Cyclical
AUBANK.NS,AU Small Finance Bank Limited,NSE,Financial Services
AURIGROW.NS,Auri Grow India Limited,NSE,Industrials
AURIONPRO.NS,Aurionpro Solutions Limited,NSE,Technology
AUROPHARMA.NS,Aurobindo Pharma Limited,NSE,Healthcare
AURUM.NS,Aurum PropTech Limited,NSE,Real Estate
AUSOMENT.NS,Ausom Enterprise Limited,NSE,Financial Services
AUTOAXLES.NS,Automotive Axles Limited,NSE,Consumer Cyclical
AUTOIND.NS,Autoline Industries Limited,NSE,Consumer Cyclical
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,NSE,Consumer Defensive
AVALON.NS,Avalon Technologies Limited,NSE,Technology
AVANTEL.NS,Avantel Limited,NSE,Technology
AVANTIFEED.NS,Avanti Feeds Limited,NSE,Consumer Defensive
AVG.NS,AVG Logistics Limited,NSE,Industrials
AVL.NS,Aditya Vision Limited,NSE,Consumer Cyclical
AVONMORE.NS,Avonmore Capital & Management Services Limited,NSE,Financial Services
AVROIND.NS,AVRO INDIA LIMITED,NSE,Consumer Cyclical
AVTNPL.NS,AVT Natural Products Limited,NSE,Basic Materials
AWFIS.NS,Awfis Space Solutions Limited,NSE,Industrials
AWHCL.NS,Antony Waste Handling Cell Limited,NSE,Industrials
AWL.NS,AWL Agri Business Limited,NSE,Consumer Defensive
AXISBANK.NS,Axis Bank Limited,NSE,Financial Services
AXISCADES.NS,AXISCADES Technologies Limited,NSE,Industrials
